"Date","Price","Open","High","Low","Vol.","Change %"
"04/20/2023","23.4510","23.4280","23.5850","23.3945","","0.23%"
"04/19/2023","23.3980","23.4305","23.4910","23.3730","","-0.10%"
"04/18/2023","23.4210","23.3980","23.4655","23.2975","","0.21%"
"04/17/2023","23.3720","23.3405","23.4285","23.2820","","0.29%"
"04/14/2023","23.3050","23.2325","23.3920","23.2125","","0.41%"
"04/13/2023","23.2100","23.3075","23.3780","23.2180","","-0.37%"
"04/12/2023","23.2960","23.4660","23.5250","23.3035","","-0.61%"
"04/11/2023","23.4390","23.3460","23.5275","23.3150","","0.55%"
"04/10/2023","23.3100","23.3065","23.4290","23.3010","","0.08%"
"04/07/2023","23.2920","23.3995","23.4640","23.2990","","-0.33%"
"04/06/2023","23.3690","23.4320","23.4725","23.3450","","-0.11%"
"04/05/2023","23.3940","23.4130","23.5240","23.3815","","-0.06%"
"04/04/2023","23.4070","23.4235","23.5335","23.3970","","0.09%"
"04/03/2023","23.3870","23.4775","23.5125","23.3980","","-0.26%"
"03/31/2023","23.4480","23.5240","23.5975","23.4420","","-0.12%"
"03/30/2023","23.4750","23.5695","23.6145","23.4750","","-0.25%"
"03/29/2023","23.5330","23.6280","23.6930","23.5305","","-0.18%"
"03/28/2023","23.5750","23.7725","23.8265","23.5900","","-0.70%"
"03/27/2023","23.7410","23.6780","23.8200","23.6345","","0.43%"
"03/24/2023","23.6390","23.6190","23.7915","23.5795","","0.15%"
"03/23/2023","23.6030","23.7125","23.7450","23.5780","","-0.34%"
"03/22/2023","23.6830","23.7945","23.8505","23.5890","","-0.36%"
"03/21/2023","23.7680","23.9695","24.0215","23.7610","","-0.75%"
"03/20/2023","23.9470","24.0605","24.0920","23.9435","","-0.10%"
"03/17/2023","23.9700","23.9505","24.0555","23.8375","","0.11%"
"03/16/2023","23.9430","24.0460","24.1175","23.9325","","-0.38%"
"03/15/2023","24.0350","23.7860","24.0995","23.7435","","1.19%"
