Rok;Mesic;Den;Hodnota;
2011;10;2;10.8;
2011;10;3;10.7;
2011;10;4;9.5;
2011;10;5;.2;
2011;10;6;5.5;
2011;10;7;.9;
2011;10;8;1.1;
2011;10;9;.7;
2011;10;10;0;
2011;10;11;0;
2011;10;12;0;
2011;10;13;4.3;
2011;10;14;7.3;
2011;10;15;10.1;
2011;10;16;9.9;
2011;10;17;10.1;
2011;10;18;7.1;
2011;10;19;0;
2011;10;20;3.2;
2011;10;21;3.7;
2011;10;22;3.4;
2011;10;23;2.1;
2011;10;24;2.1;
2011;10;25;0;
2011;10;26;0;
2011;10;27;0;
2011;10;28;0;
2011;10;29;.7;
2011;10;30;1.3;
2011;10;31;5.3;
2011;11;1;4.6;
2011;11;2;0;
2011;11;3;.9;
2011;11;4;0;
2011;11;5;0;
2011;11;6;7.2;
2011;11;7;7.1;
2011;11;8;0;
2011;11;9;0;
2011;11;10;0;
2011;11;11;3.9;
2011;11;12;7.7;
2011;11;13;5.2;
2011;11;14;0;
2011;11;15;0;
2011;11;16;0;
2011;11;17;0;
2011;11;18;.1;
2011;11;19;2.5;
2011;11;20;0;
2011;11;21;.3;
2011;11;22;5.9;
2011;11;23;0;
2011;11;24;0;
2011;11;25;3.2;
2011;11;26;.9;
2011;11;27;7.1;
2011;11;28;1.6;
2011;11;29;5.5;
2011;11;30;0;
2011;12;1;0;
2011;12;2;1.5;
2011;12;3;4.4;
2011;12;4;0;
2011;12;5;2;
2011;12;6;3.1;
2011;12;7;0;
2011;12;8;.7;
2011;12;9;0;
2011;12;10;.6;
2011;12;11;6.6;
2011;12;12;.3;
2011;12;13;2.7;
2011;12;14;.1;
2011;12;15;0;
2011;12;16;0;
2011;12;17;.8;
2011;12;18;.8;
2011;12;19;4.5;
2011;12;20;6.5;
2011;12;21;.2;
2011;12;22;.8;
2011;12;23;.2;
2011;12;24;.3;
2011;12;25;.2;
2011;12;26;0;
2011;12;27;0;
2011;12;28;0;
2011;12;29;.3;
2011;12;30;.5;
2011;12;31;5.5;
2012;01;1;0;
2012;01;2;0;
2012;01;3;5.6;
2012;01;4;.4;
2012;01;5;0;
2012;01;6;.7;
2012;01;7;0;
2012;01;8;.3;
2012;01;9;0;
2012;01;10;0;
2012;01;11;.1;
2012;01;12;.9;
2012;01;13;1.3;
2012;01;14;.6;
2012;01;15;2.4;
2012;01;16;2.5;
2012;01;17;0;
2012;01;18;7.4;
2012;01;19;0;
2012;01;20;1.4;
2012;01;21;0;
2012;01;22;2.3;
2012;01;23;1.4;
2012;01;24;.1;
2012;01;25;4.9;
2012;01;26;7.2;
2012;01;27;7.1;
2012;01;28;0;
2012;01;29;6.1;
2012;01;30;7.5;
2012;01;31;8;
2012;02;1;8.1;
2012;02;2;8.2;
2012;02;3;8.2;
2012;02;4;6;
2012;02;5;4.9;
2012;02;6;7.2;
2012;02;7;0;
2012;02;8;6.3;
2012;02;9;0;
2012;02;10;7.9;
2012;02;11;7.8;
2012;02;12;8.4;
2012;02;13;0;
2012;02;14;5.8;
2012;02;15;.4;
2012;02;16;.4;
2012;02;17;0;
2012;02;18;.3;
2012;02;19;.3;
2012;02;20;5.8;
2012;02;21;5.7;
2012;02;22;0;
2012;02;23;0;
2012;02;24;.4;
2012;02;25;6.2;
2012;02;26;3.2;
2012;02;27;7.1;
2012;02;28;0;
2012;02;29;.1;
2012;03;1;0;
