"Datum";"-A d/789171 [kWh]";"Status";
04.11.2023 00:00;0,0232;namìøená data OK;
05.11.2023 00:00;2,41;namìøená data OK;
06.11.2023 00:00;0,0877;namìøená data OK;
07.11.2023 00:00;0,1378;namìøená data OK;
08.11.2023 00:00;5,1158;namìøená data OK;
09.11.2023 00:00;0,1313;namìøená data OK;
10.11.2023 00:00;2,4417;namìøená data OK;
11.11.2023 00:00;0,0413;namìøená data OK;
12.11.2023 00:00;0,0213;namìøená data OK;
13.11.2023 00:00;0,0737;namìøená data OK;
14.11.2023 00:00;0,0097;namìøená data OK;
15.11.2023 00:00;0,0698;namìøená data OK;
16.11.2023 00:00;0,0475;namìøená data OK;
17.11.2023 00:00;1,4007;namìøená data OK;
18.11.2023 00:00;0,0333;namìøená data OK;
19.11.2023 00:00;0,0047;namìøená data OK;
20.11.2023 00:00;0,009;namìøená data OK;
21.11.2023 00:00;0,0198;namìøená data OK;
22.11.2023 00:00;0,0335;namìøená data OK;
23.11.2023 00:00;0;namìøená data OK;
24.11.2023 00:00;0,0025;namìøená data OK;
25.11.2023 00:00;0,0312;namìøená data OK;
26.11.2023 00:00;0,0032;namìøená data OK;
27.11.2023 00:00;0;namìøená data OK;
28.11.2023 00:00;0;namìøená data OK;
29.11.2023 00:00;0;namìøená data OK;
30.11.2023 00:00;0;namìøená data OK;
01.12.2023 00:00;0,0022;namìøená data OK;
02.12.2023 00:00;0;namìøená data OK;
03.12.2023 00:00;0;namìøená data OK;
04.12.2023 00:00;0;namìøená data OK;
05.12.2023 00:00;0,016;namìøená data OK;
06.12.2023 00:00;0,0003;namìøená data OK;
07.12.2023 00:00;0,0003;namìøená data OK;
08.12.2023 00:00;0;namìøená data OK;
09.12.2023 00:00;0,0047;namìøená data OK;
10.12.2023 00:00;0;namìøená data OK;
11.12.2023 00:00;0,0008;namìøená data OK;
12.12.2023 00:00;0,026;namìøená data OK;
13.12.2023 00:00;0,0635;namìøená data OK;
14.12.2023 00:00;0,008;namìøená data OK;
15.12.2023 00:00;0,0063;namìøená data OK;
16.12.2023 00:00;0,011;namìøená data OK;
17.12.2023 00:00;0,0235;namìøená data OK;
18.12.2023 00:00;0,0818;namìøená data OK;
19.12.2023 00:00;0,0845;namìøená data OK;
20.12.2023 00:00;0,0653;namìøená data OK;
21.12.2023 00:00;0,0225;namìøená data OK;
22.12.2023 00:00;0;namìøená data OK;
23.12.2023 00:00;0,0095;namìøená data OK;
24.12.2023 00:00;0;namìøená data OK;
25.12.2023 00:00;0,0187;namìøená data, vıpadek napìtí;
26.12.2023 00:00;0,0145;namìøená data OK;
27.12.2023 00:00;0,0198;namìøená data OK;
28.12.2023 00:00;0,085;namìøená data OK;
29.12.2023 00:00;0,012;namìøená data OK;
30.12.2023 00:00;0,0553;namìøená data OK;
31.12.2023 00:00;0,0993;namìøená data OK;
01.01.2024 00:00;0,0772;namìøená data OK;
02.01.2024 00:00;0,0532;namìøená data OK;
03.01.2024 00:00;0,0022;namìøená data OK;
04.01.2024 00:00;0,0243;namìøená data OK;
05.01.2024 00:00;0,043;namìøená data OK;
06.01.2024 00:00;0,034;namìøená data OK;
07.01.2024 00:00;0;namìøená data OK;
08.01.2024 00:00;0;namìøená data OK;
09.01.2024 00:00;0;namìøená data OK;
10.01.2024 00:00;0,0255;namìøená data OK;
11.01.2024 00:00;0,0473;namìøená data OK;
12.01.2024 00:00;0,0208;namìøená data OK;
13.01.2024 00:00;0;namìøená data OK;
14.01.2024 00:00;0;namìøená data OK;
15.01.2024 00:00;0,0335;namìøená data OK;
16.01.2024 00:00;0;namìøená data OK;
17.01.2024 00:00;0,0053;namìøená data OK;
18.01.2024 00:00;0;namìøená data OK;
19.01.2024 00:00;0;namìøená data OK;
20.01.2024 00:00;0,0057;namìøená data OK;
21.01.2024 00:00;0,1207;namìøená data OK;
22.01.2024 00:00;0,028;namìøená data OK;
23.01.2024 00:00;0,003;namìøená data, vıpadek napìtí;
24.01.2024 00:00;0,0027;namìøená data OK;
25.01.2024 00:00;0,0537;namìøená data, vıpadek napìtí;
26.01.2024 00:00;0,0262;namìøená data OK;
27.01.2024 00:00;0;namìøená data OK;
28.01.2024 00:00;0,0025;namìøená data OK;
29.01.2024 00:00;1,9545;namìøená data OK;
30.01.2024 00:00;5,4558;namìøená data OK;
31.01.2024 00:00;0,0845;namìøená data OK;
01.02.2024 00:00;0,0003;namìøená data OK;
02.02.2024 00:00;0,0022;namìøená data OK;
03.02.2024 00:00;0,0085;namìøená data OK;
04.02.2024 00:00;0,0138;namìøená data OK;
05.02.2024 00:00;0,0293;namìøená data OK;
06.02.2024 00:00;0,8742;namìøená data OK;
07.02.2024 00:00;0,011;namìøená data OK;
