#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 23:16
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
P1PLIB01;Praha, Libuš;01.01.1971;31.12.1999;14.4481;50.0083;303
P1PLIB01;Praha, Libuš;01.01.2000;31.12.2023;14.446944;50.007778;302.04

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Pyranometr;01.01.2004;31.12.2023;2

PRVEK
Denní úhrn globálního záøení [RGLB_D.SUM, kJ/m2]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
2006;01;8;2715;
2006;01;9;4751;
2006;01;10;5032;
2006;01;11;5091;
2006;01;12;1409;
2006;01;13;3241;
2006;01;14;2183;
2006;01;15;4235;
2006;01;16;3772;
2006;01;17;2736;
2006;01;18;2390;
2006;01;19;2063;
2006;01;20;1868;
2006;01;21;1578;
2006;01;22;4833;
2006;01;23;6183;
2006;01;24;6419;
2006;01;25;3568;
2006;01;26;3717;
2006;01;27;6506;
2006;01;28;6620;
2006;01;29;6580;
2006;01;30;4326;
2006;01;31;4703;
2006;02;1;6492;
2006;02;2;6913;
2006;02;3;3798;
2006;02;4;2378;
2006;02;5;6044;
2006;02;6;8138;
2006;02;7;1823;
2006;02;8;1884;
2006;02;9;6250;
2006;02;10;2902;
2006;02;11;4754;
2006;02;12;5619;
2006;02;13;6306;
2006;02;14;9597;
2006;02;15;2499;
2006;02;16;1725;
2006;02;17;5872;
2006;02;18;4231;
2006;02;19;9581;
2006;02;20;6397;
2006;02;21;2046;
2006;02;22;1823;
2006;02;23;2961;
2006;02;24;9896;
2006;02;25;10315;
2006;02;26;4096;
2006;02;27;10787;
2006;02;28;9552;
2006;03;1;9180;
2006;03;2;9035;
2006;03;3;8694;
2006;03;4;5864;
2006;03;5;9227;
2006;03;6;8938;
2006;03;7;8892;
2006;03;8;14314;
2006;03;9;2767;
2006;03;10;8725;
2006;03;11;7366;
2006;03;12;5145;
2006;03;13;14871;
2006;03;14;6966;
2006;03;15;4311;
2006;03;16;7277;
2006;03;17;4614;
2006;03;18;3010;
2006;03;19;14621;
2006;03;20;12561;
2006;03;21;9753;
2006;03;22;7330;
2006;03;23;14904;
2006;03;24;15518;
2006;03;25;5230;
2006;03;26;3616;
2006;03;27;13809;
2006;03;28;3689;
2006;03;29;9393;
2006;03;30;8416;
2006;03;31;10031;
2006;04;1;13117;
2006;04;2;13810;
2006;04;3;13802;
2006;04;4;13191;
2006;04;5;6864;
2006;04;6;15851;
2006;04;7;20310;
2006;04;8;21000;
2006;04;9;7309;
2006;04;10;2154;
2006;04;11;8875;
2006;04;12;9284;
2006;04;13;8690;
2006;04;14;4863;
2006;04;15;18734;
2006;04;16;9469;
2006;04;17;13348;
2006;04;18;14360;
2006;04;19;16110;
2006;04;20;18946;
2006;04;21;19108;
2006;04;22;16904;
2006;04;23;13200;
2006;04;24;19916;
2006;04;25;22980;
2006;04;26;15775;
2006;04;27;11571;
2006;04;28;6468;
2006;04;29;9115;
2006;04;30;20200;
2006;05;1;21741;
2006;05;2;16316;
2006;05;3;23598;
2006;05;4;25131;
2006;05;5;25740;
2006;05;6;21037;
2006;05;7;23724;
2006;05;8;21828;
2006;05;9;25034;
2006;05;10;25354;
2006;05;11;27314;
2006;05;12;26890;
2006;05;13;13009;
2006;05;14;12968;
2006;05;15;23839;
2006;05;16;18826;
2006;05;17;9389;
2006;05;18;9904;
2006;05;19;22380;
2006;05;20;17272;
2006;05;21;19843;
2006;05;22;27677;
2006;05;23;5511;
2006;05;24;21971;
2006;05;25;11766;
2006;05;26;14196;
2006;05;27;14002;
2006;05;28;19165;
2006;05;29;15486;
2006;05;30;7439;
2006;05;31;11709;
2006;06;1;9127;
2006;06;2;22167;
2006;06;3;21918;
2006;06;4;12247;
2006;06;5;17344;
2006;06;6;15390;
2006;06;7;19181;
2006;06;8;25979;
2006;06;9;23045;
2006;06;10;23073;
2006;06;11;29921;
2006;06;12;30358;
2006;06;13;28826;
2006;06;14;27816;
2006;06;15;24711;
2006;06;16;25879;
2006;06;17;15877;
2006;06;18;27863;
2006;06;19;25039;
2006;06;20;29183;
2006;06;21;22674;
2006;06;22;26549;
2006;06;23;23504;
2006;06;24;27394;
2006;06;25;22263;
2006;06;26;28269;
2006;06;27;22613;
2006;06;28;6366;
2006;06;29;19693;
2006;06;30;6656;
2006;07;1;19981;
2006;07;2;30613;
2006;07;3;28846;
2006;07;4;29372;
2006;07;5;30099;
2006;07;6;26759;
2006;07;7;23333;
2006;07;8;22257;
2006;07;9;24229;
2006;07;10;26030;
2006;07;11;28359;
2006;07;12;19673;
2006;07;13;24137;
2006;07;14;13627;
2006;07;15;26964;
2006;07;16;29292;
2006;07;17;28709;
2006;07;18;28421;
2006;07;19;27806;
2006;07;20;27722;
2006;07;21;17541;
2006;07;22;25924;
2006;07;23;20002;
2006;07;24;24757;
2006;07;25;23398;
2006;07;26;20338;
2006;07;27;22431;
2006;07;28;14907;
2006;07;29;17136;
2006;07;30;22996;
2006;07;31;16258;
2006;08;1;12697;
2006;08;2;22072;
2006;08;3;8068;
2006;08;4;7935;
2006;08;5;6588;
2006;08;6;8609;
2006;08;7;2630;
2006;08;8;20865;
2006;08;9;18329;
2006;08;10;15449;
2006;08;11;16893;
2006;08;12;12726;
2006;08;13;13116;
2006;08;14;16967;
2006;08;15;9020;
2006;08;16;16809;
2006;08;17;21574;
2006;08;18;13689;
2006;08;19;22981;
2006;08;20;12757;
2006;08;21;12692;
2006;08;22;9491;
2006;08;23;10225;
2006;08;24;18891;
2006;08;25;14397;
2006;08;26;11179;
2006;08;27;17126;
2006;08;28;12323;
2006;08;29;9513;
2006;08;30;11451;
2006;08;31;6707;
2006;09;1;10102;
2006;09;2;18215;
2006;09;3;6566;
2006;09;4;18054;
2006;09;5;19202;
2006;09;6;11822;
2006;09;7;18687;
2006;09;8;10446;
2006;09;9;18676;
2006;09;10;19574;
2006;09;11;19650;
2006;09;12;18797;
2006;09;13;18296;
2006;09;14;17879;
2006;09;15;15897;
2006;09;16;12517;
2006;09;17;16429;
2006;09;18;11215;
2006;09;19;8352;
2006;09;20;11954;
2006;09;21;15937;
2006;09;22;16217;
2006;09;23;16792;
2006;09;24;16229;
2006;09;25;13942;
2006;09;26;13512;
2006;09;27;8753;
2006;09;28;6342;
2006;09;29;12396;
2006;09;30;12463;
2006;10;1;3834;
2006;10;2;4734;
2006;10;3;3562;
2006;10;4;7322;
2006;10;5;10436;
2006;10;6;7711;
2006;10;7;4376;
2006;10;8;13002;
2006;10;9;12067;
2006;10;10;12269;
2006;10;11;10617;
2006;10;12;9534;
2006;10;13;6164;
2006;10;14;9814;
2006;10;15;2523;
2006;10;16;7413;
2006;10;17;11600;
2006;10;18;11036;
2006;10;19;9426;
2006;10;20;7252;
2006;10;21;4157;
2006;10;22;8492;
2006;10;23;3731;
2006;10;24;5089;
2006;10;25;9919;
2006;10;26;8750;
2006;10;27;5628;
2006;10;28;6034;
2006;10;29;4515;
2006;10;30;8357;
2006;10;31;5737;
2006;11;1;5851;
2006;11;2;6755;
2006;11;3;6998;
2006;11;4;1637;
2006;11;5;1054;
2006;11;6;1520;
2006;11;7;5086;
2006;11;8;6794;
2006;11;9;2537;
2006;11;10;3802;
2006;11;11;1912;
2006;11;12;3735;
2006;11;13;1413;
2006;11;14;2362;
2006;11;15;6389;
2006;11;16;3666;
2006;11;17;1936;
2006;11;18;1849;
2006;11;19;1855;
2006;11;20;1084;
2006;11;21;2298;
2006;11;22;2606;
2006;11;23;4632;
2006;11;24;4275;
2006;11;25;2874;
2006;11;26;1251;
2006;11;27;1751;
2006;11;28;694;
2006;11;29;1292;
2006;11;30;3231;
2006;12;1;1045;
2006;12;2;925;
2006;12;3;2421;
2006;12;4;1828;
2006;12;5;1320;
2006;12;6;3432;
2006;12;7;4820;
2006;12;8;4406;
2006;12;9;1020;
2006;12;10;1891;
2006;12;11;4542;
2006;12;12;1045;
2006;12;13;2026;
2006;12;14;4564;
2006;12;15;4665;
2006;12;16;4081;
2006;12;17;1199;
2006;12;18;1979;
2006;12;19;1130;
2006;12;20;836;
2006;12;21;1784;
2006;12;22;751;
2006;12;23;1011;
2006;12;24;1625;
2006;12;25;1187;
2006;12;26;3369;
2006;12;27;4733;
2006;12;28;649;
2006;12;29;2084;
2006;12;30;2707;
2006;12;31;3671;
2007;01;1;1807;
2007;01;2;1781;
2007;01;3;1531;
2007;01;4;922;
2007;01;5;2033;
2007;01;6;2463;
2007;01;7;1872;
2007;01;8;2082;
2007;01;9;1086;
2007;01;10;4759;
2007;01;11;1395;
2007;01;12;3016;
2007;01;13;999;
2007;01;14;3769;
2007;01;15;5196;
2007;01;16;4197;
2007;01;17;2498;
2007;01;18;1274;
2007;01;19;2781;
2007;01;20;796;
2007;01;21;5243;
2007;01;22;3053;
2007;01;23;1516;
2007;01;24;1232;
2007;01;25;6066;
2007;01;26;6369;
2007;01;27;3121;
2007;01;28;1768;
2007;01;29;2350;
2007;01;30;2687;
2007;01;31;2377;
2007;02;1;3615;
2007;02;2;2439;
2007;02;3;2184;
