#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 23:16
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
P1PKAR01;Praha, Karlov;01.01.1961;31.12.2002;14.4186;50.0675;260.5
P1PKAR01;Praha, Karlov;01.01.2003;31.12.2023;14.427778;50.069167;260.5

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Pyranometr;01.01.1984;31.12.2023;1.5

PRVEK
Denní úhrn globálního záøení [RGLB_D.SUM, kJ/m2]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
1984;10;31;5713;
1984;11;1;1292;
1984;11;2;5605;
1984;11;3;6754;
1984;11;4;1962;
1984;11;5;1166;
1984;11;6;1379;
1984;11;7;1181;
1984;11;8;630;
1984;11;9;972;
1984;11;10;1829;
1984;11;11;2549;
1984;11;12;5188;
1984;11;13;6919;
1984;11;14;5573;
1984;11;15;3024;
1984;11;16;522;
1984;11;17;410;
1984;11;18;1044;
1984;11;19;468;
1984;11;20;1094;
1984;11;21;3132;
1984;11;22;2786;
1984;11;23;3924;
1984;11;24;3809;
1984;11;25;2509;
1984;11;26;1872;
1984;11;27;2318;
1984;11;28;3697;
1984;11;29;3445;
1984;11;30;450;
1984;12;1;1404;
1984;12;2;1537;
1984;12;3;594;
1984;12;4;3899;
1984;12;5;482;
1984;12;6;853;
1984;12;7;2020;
1984;12;8;410;
1984;12;9;2113;
1984;12;10;940;
1984;12;11;490;
1984;12;12;3492;
1984;12;13;1634;
1984;12;14;713;
1984;12;15;479;
1984;12;16;886;
1984;12;17;868;
1984;12;18;3042;
1984;12;19;410;
1984;12;20;3344;
1984;12;21;1282;
1984;12;22;2808;
1984;12;23;3596;
1984;12;24;2930;
1984;12;25;3154;
1984;12;26;367;
1984;12;27;1253;
1984;12;28;900;
1984;12;29;1051;
1984;12;30;2221;
1984;12;31;2002;
1985;01;1;1393;
1985;01;2;1296;
1985;01;3;2632;
1985;01;4;2401;
1985;01;5;2401;
1985;01;6;3024;
1985;01;7;2534;
1985;01;8;3042;
1985;01;9;3380;
1985;01;10;2966;
1985;01;11;2732;
1985;01;12;1771;
1985;01;13;875;
1985;01;14;1195;
1985;01;15;2819;
1985;01;16;4540;
1985;01;17;2909;
1985;01;18;3377;
1985;01;19;3820;
1985;01;20;1742;
1985;01;21;1073;
1985;01;22;1130;
1985;01;23;731;
1985;01;24;2938;
1985;01;25;1159;
1985;01;26;2254;
1985;01;27;1433;
1985;01;28;6217;
1985;01;29;4817;
1985;01;30;1051;
1985;01;31;3121;
1985;02;1;1091;
1985;02;2;2603;
1985;02;3;7297;
1985;02;4;7002;
1985;02;5;3856;
1985;02;6;3269;
1985;02;7;4716;
1985;02;8;5688;
1985;02;9;1649;
1985;02;10;7268;
1985;02;11;7222;
1985;02;12;7279;
1985;02;13;6520;
1985;02;14;4730;
1985;02;15;8449;
1985;02;16;9774;
1985;02;17;7510;
1985;02;18;7733;
1985;02;19;7970;
1985;02;20;10390;
1985;02;21;3560;
1985;02;22;3319;
1985;02;23;9158;
1985;02;24;1231;
1985;02;25;3406;
1985;02;26;1634;
1985;02;27;1336;
1985;02;28;1386;
1985;03;1;2714;
1985;03;2;2182;
1985;03;3;3452;
1985;03;4;2538;
1985;03;5;1786;
1985;03;6;2261;
1985;03;7;2023;
1985;03;8;2322;
1985;03;9;4568;
1985;03;10;5152;
1985;03;11;8528;
1985;03;12;10829;
1985;03;13;4453;
1985;03;14;3542;
1985;03;15;8298;
1985;03;16;14972;
1985;03;17;3082;
1985;03;18;1487;
1985;03;19;4190;
1985;03;20;2153;
1985;03;21;10156;
1985;03;22;5537;
1985;03;23;2333;
1985;03;24;9396;
1985;03;25;12107;
1985;03;26;8809;
1985;03;27;7895;
1985;03;28;9871;
1985;03;29;10364;
1985;03;30;14058;
1985;03;31;7625;
1985;04;1;8910;
1985;04;2;11567;
1985;04;3;6354;
1985;04;4;18000;
1985;04;5;17831;
1985;04;6;9972;
1985;04;7;7178;
1985;04;8;6667;
1985;04;9;9497;
1985;04;10;9522;
1985;04;11;11988;
1985;04;12;8309;
1985;04;13;10285;
1985;04;14;14166;
1985;04;15;10933;
1985;04;16;7726;
1985;04;17;12758;
1985;04;18;20365;
1985;04;19;18324;
1985;04;20;22313;
1985;04;21;22316;
1985;04;22;21845;
1985;04;23;16499;
1985;04;24;8528;
1985;04;25;9493;
1985;04;26;15167;
1985;04;27;12028;
1985;04;28;13540;
1985;04;29;8424;
1985;04;30;3668;
1985;05;1;3910;
1985;05;2;18166;
1985;05;3;9824;
1985;05;4;18072;
1985;05;5;19534;
1985;05;6;13025;
1985;05;7;8514;
1985;05;8;13349;
1985;05;9;10904;
1985;05;10;19696;
1985;05;11;22720;
1985;05;12;18166;
1985;05;13;18886;
1985;05;14;19228;
1985;05;15;12326;
1985;05;16;19015;
1985;05;17;6152;
1985;05;18;4446;
1985;05;19;18425;
1985;05;20;21118;
1985;05;21;9745;
1985;05;22;6592;
1985;05;23;13147;
1985;05;24;16895;
1985;05;25;26075;
1985;05;26;27263;
1985;05;27;27040;
1985;05;28;22950;
1985;05;29;18029;
1985;05;30;16927;
1985;05;31;6703;
1985;06;1;17719;
1985;06;2;11012;
1985;06;3;21395;
1985;06;4;27662;
1985;06;5;20387;
1985;06;6;21942;
1985;06;7;16052;
1985;06;8;13507;
1985;06;9;17503;
1985;06;10;11790;
1985;06;11;15181;
1985;06;12;14483;
1985;06;13;17550;
1985;06;14;18842;
1985;06;15;7798;
1985;06;16;18698;
1985;06;17;12863;
1985;06;18;14742;
1985;06;19;24786;
1985;06;20;5436;
1985;06;21;3683;
1985;06;22;11657;
1985;06;23;9500;
1985;06;24;18176;
1985;06;25;20059;
1985;06;26;20369;
1985;06;27;16200;
1985;06;28;13928;
1985;06;29;15091;
1985;06;30;23548;
1985;07;1;12658;
1985;07;2;15570;
1985;07;3;23274;
1985;07;4;27468;
1985;07;5;26485;
1985;07;6;26676;
1985;07;7;10073;
1985;07;8;14526;
1985;07;9;14512;
1985;07;10;10559;
1985;07;11;17996;
1985;07;12;21323;
1985;07;13;20650;
1985;07;14;24887;
1985;07;15;14976;
1985;07;16;18410;
1985;07;17;16718;
1985;07;18;24480;
1985;07;19;20531;
1985;07;20;15023;
1985;07;21;19120;
1985;07;22;17438;
1985;07;23;14998;
1985;07;24;24862;
1985;07;25;22669;
1985;07;26;22378;
1985;07;27;15977;
1985;07;28;25686;
1985;07;29;18914;
1985;07;30;17082;
1985;07;31;14612;
1985;08;1;16002;
1985;08;2;14533;
1985;08;3;23461;
1985;08;4;16204;
1985;08;5;23612;
1985;08;6;2700;
1985;08;7;4946;
1985;08;8;11279;
1985;08;9;18547;
1985;08;10;12830;
1985;08;11;23490;
1985;08;12;23278;
1985;08;13;18400;
1985;08;14;21384;
1985;08;15;20506;
1985;08;16;19829;
1985;08;17;6836;
1985;08;18;11956;
1985;08;19;21535;
1985;08;20;15037;
1985;08;21;19184;
1985;08;22;21510;
1985;08;23;14332;
1985;08;24;20509;
1985;08;25;6934;
1985;08;26;4662;
1985;08;27;11009;
1985;08;28;13550;
1985;08;29;18882;
1985;08;30;19026;
1985;08;31;19318;
1985;09;1;7859;
1985;09;2;17345;
1985;09;3;9972;
1985;09;4;9497;
1985;09;5;7913;
1985;09;6;12751;
1985;09;7;8586;
1985;09;8;3128;
1985;09;9;10631;
1985;09;10;14947;
1985;09;11;14389;
1985;09;12;16589;
1985;09;13;17068;
1985;09;14;9162;
1985;09;15;9378;
1985;09;16;14047;
1985;09;17;6433;
1985;09;18;12740;
1985;09;19;15185;
1985;09;20;14346;
1985;09;21;11560;
1985;09;22;13982;
1985;09;23;4849;
1985;09;24;9565;
1985;09;25;11074;
1985;09;26;8078;
1985;09;27;13712;
1985;09;28;5350;
1985;09;29;13972;
1985;09;30;12636;
1985;10;1;12611;
1985;10;2;10894;
1985;10;3;10753;
1985;10;4;11466;
1985;10;5;5015;
1985;10;6;3589;
1985;10;7;4003;
1985;10;8;3204;
1985;10;9;9198;
1985;10;10;4266;
1985;10;11;9936;
1985;10;12;10220;
1985;10;13;9810;
1985;10;14;1321;
1985;10;15;9673;
1985;10;16;7423;
1985;10;17;1454;
1985;10;18;1076;
1985;10;19;4108;
1985;10;20;8651;
1985;10;21;7862;
1985;10;22;1397;
1985;10;23;8824;
1985;10;24;7351;
1985;10;25;8233;
1985;10;26;4277;
1985;10;27;893;
1985;10;28;2059;
1985;10;29;6149;
1985;10;30;983;
1985;10;31;3668;
1985;11;1;2556;
1985;11;2;4039;
1985;11;3;7877;
1985;11;4;6592;
1985;11;5;2416;
1985;11;6;3481;
1985;11;7;3042;
1985;11;8;3892;
1985;11;9;2509;
1985;11;10;1642;
1985;11;11;4712;
1985;11;12;3233;
1985;11;13;486;
1985;11;14;220;
1985;11;15;3582;
1985;11;16;1595;
1985;11;17;1242;
1985;11;18;2509;
1985;11;19;1267;
1985;11;20;950;
1985;11;21;868;
1985;11;22;1076;
1985;11;23;382;
1985;11;24;500;
1985;11;25;810;
1985;11;26;1354;
1985;11;27;3550;
1985;11;28;1562;
1985;11;29;4698;
1985;11;30;1001;
1985;12;1;979;
1985;12;2;1613;
